x,direcao_descida,erro,f(min),x_anterior
[-0.63775229  0.91403077],[-0.27726589  0.44778407],0.0005266753710190093,-1.0687252769702638,[-0.63775229  0.91403077]
[-0.63802934  0.91447821],[-0.2770524   0.44744303],0.000526273025179158,-1.069002134476296,[-0.63802934  0.91447821]
[-0.63830618  0.91492532],[-0.27683907  0.44710225],0.000525870986720223,-1.0692785691415485,[-0.63830618  0.91492532]
[-0.6385828   0.91537208],[-0.27662592  0.44676172],0.0005254692554073266,-1.0695545816118353,[-0.6385828   0.91537208]
[-0.63885922  0.9158185 ],[-0.27641294  0.44642145],0.0005250678310055204,-1.0698301725319839,[-0.63885922  0.9158185 ]
[-0.63913542  0.91626458],[-0.27620013  0.44608144],0.0005246667132802665,-1.070105342545838,[-0.63913542  0.91626458]
[-0.6394114   0.91671032],[-0.2759875   0.44574167],0.0005242659019972397,-1.070380092296257,[-0.6394114   0.91671032]
[-0.63968718  0.91715572],[-0.27577503  0.44540216],0.0005238653969219857,-1.070654422425118,[-0.63968718  0.91715572]
[-0.63996274  0.91760079],[-0.27556273  0.44506291],0.0005234651978206494,-1.0709283335733173,[-0.63996274  0.91760079]
[-0.64023809  0.91804551],[-0.27535061  0.44472391],0.0005230653044591523,-1.0712018263807739,[-0.64023809  0.91804551]
[-0.64051323  0.9184899 ],[-0.27513865  0.44438516],0.0005226657166038397,-1.0714749014864273,[-0.64051323  0.9184899 ]
[-0.64078816  0.91893394],[-0.27492687  0.44404667],0.0005222664340212921,-1.0717475595282426,[-0.64078816  0.91893394]
[-0.64106287  0.91937765],[-0.27471525  0.44370843],0.0005218674564779605,-1.072019801143209,[-0.64106287  0.91937765]
[-0.64133738  0.91982102],[-0.27450381  0.44337044],0.0005214687837408373,-1.0722916269673433,[-0.64133738  0.91982102]
[-0.64161167  0.92026405],[-0.27429254  0.44303271],0.000521070415576938,-1.0725630376356907,[-0.64161167  0.92026405]
[-0.64188575  0.92070675],[-0.27408143  0.44269523],0.0005206723517533604,-1.072834033782327,[-0.64188575  0.92070675]
[-0.64215962  0.92114911],[-0.2738705  0.442358 ],0.0005202745920374373,-1.073104616040358,[-0.64215962  0.92114911]
[-0.64243328  0.92159113],[-0.27365973  0.44202103],0.0005198771361969032,-1.0733747850419237,[-0.64243328  0.92159113]
[-0.64270673  0.92203281],[-0.27344913  0.44168431],0.0005194799839993133,-1.0736445414181985,[-0.64270673  0.92203281]
[-0.64297997  0.92247416],[-0.27323871  0.44134783],0.000519083135212566,-1.073913885799391,[-0.64297997  0.92247416]
[-0.643253    0.92291517],[-0.27302845  0.44101162],0.0005186865896047587,-1.0741828188147493,[-0.643253    0.92291517]
[-0.64352582  0.92335585],[-0.27281836  0.44067565],0.0005182903469443539,-1.074451341092558,[-0.64352582  0.92335585]
[-0.64379842  0.92379619],[-0.27260843  0.44033994],0.0005178944069995187,-1.074719453260145,[-0.64379842  0.92379619]
[-0.64407082  0.92423619],[-0.27239868  0.44000447],0.0005174987695390461,-1.0749871559438766,[-0.64407082  0.92423619]
[-0.64434301  0.92467586],[-0.27218909  0.43966926],0.0005171034343316089,-1.0752544497691652,[-0.64434301  0.92467586]
[-0.64461499  0.9251152 ],[-0.27197968  0.4393343 ],0.0005167084011462452,-1.075521335360466,[-0.64461499  0.9251152 ]
[-0.64488676  0.9255542 ],[-0.27177043  0.43899959],0.0005163136697521467,-1.0757878133412806,[-0.64488676  0.9255542 ]
[-0.64515832  0.92599286],[-0.27156134  0.43866513],0.00051591923991861,-1.0760538843341592,[-0.64515832  0.92599286]
[-0.64542968  0.92643119],[-0.27135243  0.43833093],0.0005155251114150855,-1.0763195489606998,[-0.64542968  0.92643119]
[-0.64570082  0.92686919],[-0.27114368  0.43799697],0.000515131284011339,-1.0765848078415516,[-0.64570082  0.92686919]
