x,direcao_descida,erro,f(min),x_anterior
[-0.41404486 -0.0185031 ],[-0.22759222 -0.09418047],0.00024630910972491703,-0.24572249479720892,[-0.41404486 -0.0185031 ]
[-0.41427228 -0.01859721],[-0.22741957 -0.0941098 ],0.0002461225649826977,-0.24578304817515406,[-0.41427228 -0.01859721]
[-0.41449953 -0.01869125],[-0.22724706 -0.09403918],0.0002459361615261499,-0.2458435098663853,[-0.41449953 -0.01869125]
[-0.4147266  -0.01878521],[-0.22707469 -0.09396861],0.0002457498992482468,-0.24590388000973187,[-0.4147266  -0.01878521]
[-0.4149535  -0.01887911],[-0.22690244 -0.09389808],0.00024556377804196237,-0.2459641587438126,[-0.4149535  -0.01887911]
[-0.41518023 -0.01897294],[-0.22673033 -0.09382761],0.0002453777978003752,-0.24602434620703648,[-0.41518023 -0.01897294]
[-0.41540679 -0.0190667 ],[-0.22655836 -0.09375718],0.0002451919584167224,-0.24608444253760295,[-0.41540679 -0.0190667 ]
[-0.41563318 -0.01916038],[-0.22638651 -0.09368679],0.0002450062597841446,-0.24614444787350187,[-0.41563318 -0.01916038]
[-0.41585939 -0.019254  ],[-0.2262148  -0.09361646],0.0002448207017960513,-0.2462043623525146,[-0.41585939 -0.019254  ]
[-0.41608544 -0.01934755],[-0.22604322 -0.09354617],0.00024463528434585675,-0.24626418611221335,[-0.41608544 -0.01934755]
[-0.41631131 -0.01944102],[-0.22587177 -0.09347593],0.0002444500073269904,-0.2463239192899623,[-0.41631131 -0.01944102]
[-0.41653701 -0.01953443],[-0.22570045 -0.09340574],0.0002442648706331019,-0.24638356202291758,[-0.41653701 -0.01953443]
[-0.41676254 -0.01962776],[-0.22552927 -0.0933356 ],0.000244079874157805,-0.2464431144480274,[-0.41676254 -0.01962776]
[-0.4169879  -0.01972103],[-0.22535822 -0.0932655 ],0.00024389501779483366,-0.24650257670203293,[-0.4169879  -0.01972103]
[-0.41721308 -0.01981423],[-0.2251873  -0.09319545],0.00024371030143809357,-0.24656194892146796,[-0.41721308 -0.01981423]
