x,direcao_descida,erro,f(min),x_anterior
[0.24448581 0.46530912],[0.85868756 1.60695406],0.001821989481155818,-1.066007880625041,[0.24448581 0.46530912]
[0.24534383 0.46691479],[0.85802504 1.60567837],0.0018205521075261009,-1.0693209832268815,[0.24534383 0.46691479]
[0.24620119 0.4685192 ],[0.85736281 1.6044038 ],0.0018191158681538663,-1.072628860456518,[0.24620119 0.4685192 ]
[0.24705789 0.47012233],[0.85670088 1.60313036],0.0018176807621349048,-1.0759315205564035,[0.24705789 0.47012233]
[0.24791393 0.47172419],[0.85603925 1.60185805],0.0018162467885661524,-1.079228971755958,[0.24791393 0.47172419]
[0.24876931 0.47332477],[0.85537792 1.60058685],0.0018148139465454188,-1.082521222271588,[0.24876931 0.47332477]
[0.24962403 0.47492409],[0.85471691 1.59931677],0.0018133822351714137,-1.0858082803067093,[0.24962403 0.47492409]
[0.25047808 0.47652214],[0.85405621 1.59804781],0.001811951653543972,-1.0890901540517683,[0.25047808 0.47652214]
[0.25133148 0.47811892],[0.85339582 1.59677995],0.0018105222007638324,-1.0923668516842626,[0.25133148 0.47811892]
[0.25218422 0.47971443],[0.85273575 1.59551321],0.0018090938759325716,-1.0956383813687636,[0.25218422 0.47971443]
[0.25303629 0.48130868],[0.852076   1.59424757],0.0018076666781527888,-1.0989047512569368,[0.25303629 0.48130868]
[0.25388771 0.48290166],[0.85141657 1.59298303],0.001806240606528083,-1.1021659694875632,[0.25388771 0.48290166]
[0.25473847 0.48449338],[0.85075747 1.5917196 ],0.0018048156601628452,-1.105422044186561,[0.25473847 0.48449338]
[0.25558856 0.48608384],[0.8500987  1.59045727],0.0018033918381624532,-1.1086729834670062,[0.25558856 0.48608384]
[0.256438   0.48767304],[0.84944026 1.58919603],0.0018019691396331371,-1.1119187954291532,[0.256438   0.48767304]
[0.25728679 0.48926097],[0.84878215 1.58793589],0.0018005475636821695,-1.1151594881604572,[0.25728679 0.48926097]
[0.25813491 0.49084765],[0.84812438 1.58667684],0.0017991271094175087,-1.1183950697355935,[0.25813491 0.49084765]
[0.25898238 0.49243307],[0.84746695 1.58541888],0.001797707775948237,-1.1216255482164799,[0.25898238 0.49243307]
[0.25982919 0.49401723],[0.84680986 1.584162  ],0.0017962895623840846,-1.1248509316522959,[0.25982919 0.49401723]
[0.26067534 0.49560013],[0.84615312 1.58290621],0.0017948724678358864,-1.1280712280795049,[0.26067534 0.49560013]
